Nombres,Apellido Paterno,Apellido Materno,Tipo Documento,N° Documento,Teléfono,Email,Dirección
CARLOS ALBERTO,RAMIREZ,FLORES,DNI,10234567,987654321,carlos.ramirez@gmail.com,AV. GRAU 123 CHICLAYO
MARIA ELENA,TORRES,QUISPE,DNI,20345678,976543210,maria.torres@hotmail.com,JR. UNION 456 LIMA
JOSE LUIS,GARCIA,MENDOZA,DNI,30456789,965432109,jose.garcia@gmail.com,CAL. LOS PINOS 789 TRUJILLO
ANA PATRICIA,LOPEZ,VARGAS,DNI,40567890,954321098,ana.lopez@yahoo.com,AV. REPUBLICA 321 AREQUIPA
PEDRO ANTONIO,CHAVEZ,ROJAS,DNI,50678901,943210987,pedro.chavez@gmail.com,JR. TACNA 654 PIURA
LUCIA FERNANDA,DIAZ,CASTILLO,DNI,60789012,932109876,lucia.diaz@hotmail.com,AV. BOLOGNESI 987 CUSCO
MIGUEL ANGEL,SANCHEZ,HERRERA,DNI,70890123,921098765,miguel.sanchez@gmail.com,CAL. REAL 147 ICA
ROSA ISABEL,GUTIERREZ,MORALES,DNI,80901234,910987654,rosa.gutierrez@yahoo.com,AV. EJERCITO 258 HUANCAYO
JUAN CARLOS,FLORES,JIMENEZ,DNI,91012345,909876543,juan.flores@gmail.com,JR. AMAZONAS 369 PUCALLPA
CARMEN ROSA,REYES,PAREDES,DNI,12345670,998765432,carmen.reyes@hotmail.com,AV. INDEPENDENCIA 741 TACNA
LUIS ALBERTO,VEGA,SOTO,DNI,23456701,987654320,luis.vega@gmail.com,CAL. PROGRESO 852 TUMBES
PATRICIA MILAGROS,RAMOS,CRUZ,DNI,34567012,976543201,patricia.ramos@yahoo.com,AV. GRAU 963 MOQUEGUA
ROBERTO CARLOS,MENDOZA,SILVA,DNI,45670123,965432012,roberto.mendoza@gmail.com,JR. LIBERTAD 174 PUNO
SILVIA BEATRIZ,CASTRO,RIOS,DNI,56701234,954320123,silvia.castro@hotmail.com,AV. PERU 285 CAJAMARCA
